var,source_dataset,n_total,n_observed,pct_observed,n_positive,n_zero,status,drop_reason,included_in_stable_set,analysis_role,notes
ACARDSYS,ASDB,6166,3736,0.605903340901719,815,2921,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ACLABHOS,ASDB,6166,3736,0.605903340901719,1521,2215,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ACOPCT,ASDB,6166,858,0.139150178397665,55,87,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
ACUSYS,ASDB,6166,3736,0.605903340901719,299,3437,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ADTCSYS,ASDB,6166,3736,0.605903340901719,985,2751,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ADTESYS,ASDB,6166,3736,0.605903340901719,873,2863,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ADTRTSYS,ASDB,6166,3736,0.605903340901719,829,2907,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
AIDSSSYS,ASDB,6166,3736,0.605903340901719,810,2926,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
AIRBSYS,ASDB,6166,3736,0.605903340901719,548,3188,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ALCHSYS,ASDB,6166,3736,0.605903340901719,638,3098,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ALCOPSYS,ASDB,6166,3736,0.605903340901719,803,2933,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ALCPDSYS,ASDB,6166,3736,0.605903340901719,317,3419,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ALCPRSYS,ASDB,6166,3736,0.605903340901719,438,3298,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ALZSYS,ASDB,6166,3736,0.605903340901719,558,3178,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
AMBASYS,ASDB,6166,3736,0.605903340901719,525,3211,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
AMBSSYS,ASDB,6166,3736,0.605903340901719,832,2904,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
AMBSYS,ASDB,6166,3736,0.605903340901719,586,3150,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
APED,ASDB,6166,2501,0.405611417450535,596,1905,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ARTHCSYS,ASDB,6166,3736,0.605903340901719,551,3185,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ASSTLSYS,ASDB,6166,3736,0.605903340901719,294,3442,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
AUXSYS,ASDB,6166,3736,0.605903340901719,680,3056,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
BDPEDCP,ASDB,6166,375,0.060817385663315,203,172,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
BDPEDMA,ASDB,6166,375,0.060817385663315,83,292,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
BDPEDMD,ASDB,6166,375,0.060817385663315,24,351,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
BDPEDTM,ASDB,6166,375,0.060817385663315,224,151,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
BEAMSYS,ASDB,6166,3736,0.605903340901719,764,2972,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
BIOSYS,ASDB,6166,3736,0.605903340901719,205,3531,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
