"var","module"
"ACARDSYS","M1"
"ACLABHOS","M1"
"ACUSYS","M1"
"ADTCSYS","M1"
"ADTESYS","M1"
"ADTRTSYS","M1"
"AIDSSSYS","M1"
"AIRBSYS","M1"
"ALCHSYS","M1"
"ALCOPSYS","M1"
"ALCPDSYS","M1"
"ALCPRSYS","M1"
"ALZSYS","M1"
"AMBASYS","M1"
"AMBSSYS","M1"
"AMBSYS","M1"
"APED","M1"
"ARTHCSYS","M1"
"ASSTLSYS","M1"
"AUXSYS","M1"
"BEAMSYS","M1"
"BIOSYS","M1"
"BLDOSYS","M1"
"BRADHOS","M1"
"BRNSYS","M1"
"BROOMSYS","M1"
"BWHTSYS","M1"
"CAOSSYS","M1"
"CHABSYS","M1"
"CHAPSYS","M1"
"CHCARSYS","M1"
"CHISYS","M1"
"CHTHSYS","M1"
"CICHOS","M1"
"CMNGTSYS","M1"
"COFVSYS","M1"
"COMPSYS","M1"
"COUTRSYS","M1"
"CPHOSYS","M1"
"CPPCT","M1"
"CPREVSYS","M1"
"CTFTE","M1"
"CTSCNHOS","M2"
"CWELLSYS","M1"
"DENTSSYS","M1"
"DPPSYS","M1"
"DRADFHOS","M2"
"EBCTHOS","M1"
"EDMCHG","M1"
"EFTLAB","M1"
"EFTRAD","M1"
"EICUHOS","M1"
"EMDEPHOS","M2"
"EMSSSYS","M1"
"ENBSYS","M1"
"ENDOAHOS","M1"
"ENDOCHOS","M2"
"ENDOEHOS","M1"
"ENDORHOS","M1"
"ENDOUHOS","M1"
"ENRSYS","M1"
"EPTLAB","M1"
"EPTRAD","M1"
"EQMODSYS","M1"
"ESWLSYS","M1"
"FFDMSYS","M1"
"FITCSYS","M1"
"FOUNDSYS","M1"
"FRTCSYS","M1"
"FSERSYS","M1"
"FTECLAB","M1"
"FTECRAD","M1"
"FTED","M1"
"FTELAB","M1"
"FTERAD","M3"
"FTLAB","M1"
"FTRAD","M1"
"GENSYS","M1"
"GERSVSYS","M1"
"GNTCSYS","M1"
"GPWWSYS","M1"
"HARTSYS","M1"
"HEMOSYS","M1"
"HLTHCSYS","M1"
"HLTHFSYS","M1"
"HLTHSSYS","M1"
"HLTRSYS","M1"
"HOMEHSYS","M1"
"HOMEPSYS","M1"
"HOSPCSYS","M1"
"ICARSYS","M1"
"ICFSYS","M1"
"ICLABHOS","M1"
"ICUCHG","M1"
"IGRTSYS","M1"
"IMPRSYS","M1"
"IMRIHOS","M1"
"IMRTSYS","M1"
"IPALSYS","M1"
"IPASYS","M1"
"ISMSYS","M1"
"KDNYSYS","M1"
"LABFTE","M1"
"LINGSYS","M1"
"LIVRSYS","M1"
"LOCTRCLI","M1"
"LOCTRCNA","M1"
"LOCTRNI","M1"
"LOCTRPSN","M2"
"LUNGSYS","M1"
"MAMMSSYS","M1"
"MEALSSYS","M1"
"MEDHME","M1"
"MEDHSE","M1"
"MEDOPHOS","M1"
"MEDSUBHOS","M1"
"MEGSYS","M1"
"MOHSSYS","M1"
"MRIHOS","M2"
"MSCTGHOS","M2"
"MSCTHOS","M1"
"MSICHOS","M2"
"MSOSYS","M1"
"NEROSYS","M1"
"NICSYS","M1"
"NINTSYS","M1"
"NUTRPSYS","M1"
"OBSYS","M1"
"OCCHSSYS","M1"
"ONCOLSYS","M1"
"OPCENSYS","M1"
"OPHOSSYS","M1"
"OPHOSYS","M1"
"OPSRGSYS","M1"
"ORPMSYS","M1"
"ORTOSYS","M1"
"OTBONSYS","M1"
"OTHCRSYS","M1"
"OTHISYS","M1"
"OTHLTSYS","M1"
"OTHTSYS","M1"
"OTOTHSYS","M1"
"PAINSYS","M1"
"PALSYS","M1"
"PATEDHOS","M2"
"PATRPSYS","M1"
"PCARDSYS","M1"
"PCASYS","M1"
"PCDEPSYS","M1"
"PCLABHOS","M1"
"PDISSYS","M1"
"PEDBD","M1"
"PEDCSHOS","M1"
"PEDEHOS","M1"
"PEDHOS","M1"
"PEDICHOS","M1"
"PELABHOS","M1"
"PEMERSYS","M1"
"PETCTHOS","M1"
"PETSYS","M1"
"PPNSYS","M1"
"PPOSTSYS","M1"
"PSCISSYS","M1"
"PSPISYS","M1"
"PSSOCSYS","M1"
"PSYCASYS","M1"
"PSYEDHOS","M1"
"PSYEMSYS","M1"
"PSYGRSYS","M1"
"PSYLSSYS","M1"
"PSYOISYS","M1"
"PSYOPSYS","M1"
"PSYPHASYS","M1"
"PSYPHCSYS","M1"
"PSYSYS","M1"
"PSYTRASYS","M1"
"PSYTRPSYS","M1"
"PTLAB","M1"
"PTONSYS","M1"
"PTRAD","M1"
"RADFTE","M1"
"RADMCHI","M1"
"RASTSYS","M1"
"RBOTSYS","M1"
"REDSHOS","M1"
"REHABSYS","M1"
