"var","source","n_total","n_observed","pct_observed","n_positive","n_zero"
"ACARDSYS","ASDB",6166,3736,0.605903340901719,815,2921
"ACLABHOS","ASDB",6166,3736,0.605903340901719,1521,2215
"ACOPCT","ASDB",6166,858,0.139150178397665,55,87
"ACUSYS","ASDB",6166,3736,0.605903340901719,299,3437
"ADTCSYS","ASDB",6166,3736,0.605903340901719,985,2751
"ADTESYS","ASDB",6166,3736,0.605903340901719,873,2863
"ADTRTSYS","ASDB",6166,3736,0.605903340901719,829,2907
"AIDSSSYS","ASDB",6166,3736,0.605903340901719,810,2926
"AIRBSYS","ASDB",6166,3736,0.605903340901719,548,3188
"ALCHSYS","ASDB",6166,3736,0.605903340901719,638,3098
"ALCOPSYS","ASDB",6166,3736,0.605903340901719,803,2933
"ALCPDSYS","ASDB",6166,3736,0.605903340901719,317,3419
"ALCPRSYS","ASDB",6166,3736,0.605903340901719,438,3298
"ALZSYS","ASDB",6166,3736,0.605903340901719,558,3178
"AMBASYS","ASDB",6166,3736,0.605903340901719,525,3211
"AMBSSYS","ASDB",6166,3736,0.605903340901719,832,2904
"AMBSYS","ASDB",6166,3736,0.605903340901719,586,3150
"APED","ASDB",6166,2501,0.405611417450535,596,1905
"ARTHCSYS","ASDB",6166,3736,0.605903340901719,551,3185
"ASSTLSYS","ASDB",6166,3736,0.605903340901719,294,3442
"AUXSYS","ASDB",6166,3736,0.605903340901719,680,3056
"BDPEDCP","ASDB",6166,375,0.060817385663315,203,172
"BDPEDMA","ASDB",6166,375,0.060817385663315,83,292
"BDPEDMD","ASDB",6166,375,0.060817385663315,24,351
"BDPEDTM","ASDB",6166,375,0.060817385663315,224,151
"BEAMSYS","ASDB",6166,3736,0.605903340901719,764,2972
"BIOSYS","ASDB",6166,3736,0.605903340901719,205,3531
"BLDOSYS","ASDB",6166,3736,0.605903340901719,315,3421
"BNDPCT","ASDB",6166,545,0.0883879338306844,203,256
"BRADHOS","ASDB",6166,3736,0.605903340901719,1769,1967
"BRNSYS","ASDB",6166,3736,0.605903340901719,328,3408
"BROOMSYS","ASDB",6166,3736,0.605903340901719,784,2952
"BWHTSYS","ASDB",6166,3736,0.605903340901719,962,2774
"CAOSSYS","ASDB",6166,3736,0.605903340901719,740,2996
"CBSACODE","ASDB",6166,6166,1,0,0
"CBSANAME","ASDB",6166,5070,0.822251054168018,0,0
"CBSATYPE","ASDB",6166,6166,1,0,0
"CHABSYS","ASDB",6166,3736,0.605903340901719,796,2940
"CHAPSYS","ASDB",6166,3736,0.605903340901719,703,3033
